cod_nombram,nomb_nombram
no219,"Acta 1, Asamblea De Corporados"
no220,"Acuerdo 3, Asamblea"
no221,"Acuerdo 5362, Consejo Superior"
no222,"Resolución 017, Canciller"
no223,"Acuerdo C.D. 019, Consejo Directivo"
no224,"Acta C.S. 101, Consejo Superior"
no225,"Acuerdo 06, Consejo Superior"
no226,"Resoluc C.S. 004, Consejo Superior"
no227,"Acta 56, Asamblea General"
no228,"Resolución 4908, Ministerio De Defensa"
no229,"Acuerdo 020, Consejo Superior Universitario"
no230,"Acuerdo 011, Asamblea De Fundadores"
no231,"Acta 019, Asamblea De Fundadores"
no232,"Acta 64, Consejo"
no233,"Asamblea General 01, Asamblea General"
no234,"Acta 08, Asamblea General"
no235,"Acuerdo 010-01, Consejo Superior"
no236,"Resoluc C.S. 009, Consejo Superior"
no237,"Acta C.S. 397, Consejo Superior"
no238,"Asamblea General 01, Asamblea De Benefactores"
no239,"Acta C.D. 19, Consejo Directivo"
no240,"Acta C.S. 01, Consejo Superior"
no241,"Acuerdo 011, Asamblea General"
no242,"Acta 07, Sala General"
no243,"Resolución 002, Canciller"
no244,"Acta C.S. 006, Consejo Superior"
no245,"Acta 58, Consejo Directivo"
no246,"Resolución 01, Canciller De La Fundacion"
no247,"Acta 040, Consejo"
no248,"Acta 058, Consejo Superior"
no249,"Resolución 02, Consejo Superior"
no250,"Acuerdo C.D. 002, Consejo Directivo"
no251,"Acta 002, Asamblea General"
no252,"Acuerdo 13, Asamblea General"
no253,"Acta 85, Asamblea General"
no254,"Acta 01, Sala General"
no255,"Acta 82, Sala De Fundadores"
no256,"Acto Administrativo 002, Junta Directiva"
no257,"Resolución 1767, Ministerio De Defensa Nacional"
no258,"Acta 05-20, Asamblea"
no259,"Decreto Col 23/08, Gran Canciller"
no260,"Acta 002, Consejo Superior"
no261,"Acta 007, Junta De Fundadores"
no262,"Acuerdo C.D. 17185, Consejo Directivo"
no263,"Acta C.S. 008, Consejo Superior"
no264,"Resolución 016, Canciller"
no265,"Decreto 95, Ministerio De Defensa Nacional"
no266,"Sin Asignar 98, Sin Asignar"
no267,"Acta 05, Consiliatura"
no268,"Acuerdo C.D. 24, Consejo Directivo"
no269,"Acuerdo C.S. 19, Consejo Superior Universitario"
no270,"Acta 003, Asamblea De Miembros Fundadores"
no271,"Resoluc C.S. RESOLUCION C.S., Consejo Superior"
no272,"Contrato 1, Gerencia Institucional"
no273,"Resolución 029, Rectoria"
no274,"Acuerdo 027, Consejo Superior"
no275,"Acta C.S. 35, Consejo Superior"
no276,"Decreto 2607, Ministerio De Cultura"
no277,"Resolución 005, Rectoria"
no278,"Acuerdo 001, Consejo"
no279,"Acta 21, Asamblea Fundadores"
no280,"Acta C.D. 168, Consejo Directivo"
no281,"Acuerdo 0013, Consejo Superior"
no282,"Acta 003, Asamblea General"
no283,"Resolución PSF001, Sala De La Fundacion"
no284,"Acta 12, Consejo Superior"
no285,"Acuerdo C.S. 063, Consejo Superior"
no286,"Acta 053, Consejo Directivo"
no287,"Acuerdo 02, Presidencia"
no288,"Acuerdo C.S. 182, Consejo Superior"
no289,"Decreto 1759, Arquidiocesis De Medellin"
no290,"Acta 017, Sala De Gobierno"
no291,"Acta 165, Sala General"
no292,"Acta C.D. 471, Consejo Directivo"
no293,"Resolución 016, Rectoria"
no294,"Acuerdo 020, Asamblea De Miembros"
no295,"Acta C.D. 10, Consejo"
no296,"Acuerdo 002, Sala General"
no297,"Acuerdo C.D. 012, Consejo Directivo"
no298,"Resolución 18, Consejo Superior Universitario"
no299,"Acta 112, Asamblea De Fundadores"
no300,"Orden General 035, Comandante De La Fuerza Aerea Colombiana"
no301,"Acta 142, Consejo Superior"
no302,"Acuerdo 03, Asamblea General"
no303,"Acta 033, Asamblea General"
no304,"Acta C.S. 096, Consejo Superior"
no305,"Acuerdo C.S. 000014, Consejo Superior Universitario"
no306,"Resolución 34, Consejo Superior Universitario"
no307,"Acta 1, Consejo Directivo"
no308,"Acuerdo 016, Asamblea General De Miembros Fundadores"
no309,"Acta C.S. 001, Consejo Superior"
no310,"Acuerdo C.S. 64, Consejo Superior"
no311,"Resolución 003, Gran Canciller"
no312,"Decreto 1731, Presidencia"
no313,"Acuerdo 57, Asamblea De Fundadores"
no314,"Acuerdo C.S. 20, Consejo Superior"
no315,"Acto Resolutorio 29, Consejo Directivo General"
no316,"Resoluc C.S. 001, Consejo Superior"
no317,"Resolución 1740, Rectoria"
no318,"Acuerdo 008, Consejo Directivo"
no319,"Resolución 8922, Comando Del Ejercito Nacional"
no320,"Acta C.S. 08, Consejo Superior Universitario"
no321,"Acta 249, Sala General"
no322,"Acta 23, Consejo Superior"
no323,"Decreto 27, Canciller De La Fundacion"
no324,"Acuerdo 45, Consejo Superior"
no325,"Acuerdo C.D. ACUERDO C.D., Consejo Directivo"
no326,"Acuerdo C.S. 033, Consejo Superior Universitario"
no327,"Decreto 10, Asamblea De Fundadores"
no328,"Acuerdo C.S. 74, Consejo Superior Universitario"
no329,"Acta C.D. 005, Consejo Directivo"
no330,"Acta C.D. 249-22, Comite Directivo"
no331,"Acta C.S. 01, Consejo Superior Universitario"
no332,"Acta C.D. 02-2023, Consejo Directivo General"
no333,"Resolución 007, Canciller"
no334,"Decreto 2508, Arquidiocesis De Medellin"
no335,"Acuerdo C.S. 034, Consejo Superior"
no336,"Resolución 045, Rectoria"
no337,"Acuerdo C.D. 019, Consejo De Direccion"
no338,"Comunicacion 31, Vice-Gran Canciller"
no339,"Acuerdo C.D. 004, Consejo De Direccion"
no340,"Acuerdo 020, Asamblea De Miembros Fundadores"
no341,"Acta Funda 155, Sala De Fundadores"
no342,"Resoluc C.D. 01, Consejo Directivo"
no343,"Resolución 001, Canciller"
no344,"Acuerdo C.D. 006, Consejo Directivo"
no345,"Acta 018, Consejo Superior"
no346,"Acta C.D. 568, Consejo Directivo"
no347,"Acuerdo 314, Consejo De Fundadores"
no348,"Resoluc C.S. 0011, Consejo Superior Universitario"
no349,"Acto Administrativo 01, Consejo Directivo"
no350,"Resolución 011, Consejo Maximo"
no351,"Resolución 18, Consejo Directivo"
no352,"Acuerdo 041, Sala General"
no353,"Acta 016, Asamblea De Fundadores"
no354,"Acta 62, Consejo"
no355,"Resolución 24, Canciller"
no356,"Acta 02, Consejo"
no357,"Acta 120719, Cuerpo De Regentes"
no358,"Resolución 001, Sala De La Fundacion"
no359,"Acta Funda 005, Asamblea Consejo De Fundadores"
no360,"Acuerdo C.D. 004, Consejo Directivo"
no361,"Acta 001, Asamblea De Fundadores"
no362,"Acta 03, Asamblea General"
no363,"Acta 092, Asamblea General"
no364,"Acuerdo C.D. 005, Consejo Directivo"
no365,"Acta 152, Asamblea De Fundadores Y Miembros Emeritos"
no366,"Acuerdo C.S. 005, Consejo Superior Universitario"
no367,"Acta C.S. 116, Consejo Superior"
no368,"Acuerdo 10, Consejo Directivo"
no369,"Acta C.S. 64, Consejo Superior"
no370,"Acta 008, Consejo De Fundadores"
no371,"Acuerdo C.D. 019, Consejo"
no372,"Acta 307, Consejo Superior"
no373,"Resolución 016, Consejo Superior"
no374,"Acta C.S. CS-01, Consejo Superior Universitario"
no375,"Acta C.S. 63, Consejo Superior"
no376,"Acta C.D. 251-22, Comite Directivo"
no377,"Acuerdo 02, Sala De Fundadores"
no378,"Acta 1, Conciliatura"
no379,"Decreto 115, Consejo De Fundadores"
no380,"Acta C.S. 056, Consejo Superior"
no381,"Acta C.D. 012, Consejo"
no382,"Acta C.D. CDG05, Consejo Directivo General"
no383,"Resoluc C.S. 000012, Consejo Superior"
no384,"Acta C.S. 36, Consejo Superior"
no385,"Asamblea General 074, Asamblea General"
no386,"Resolución 2433, Consejo Superior"
no387,"Acta C.S. 503, Consejo Superior"
no388,"Acta 509, Consejo Superior"
no389,"Acta 176, Rectoria"
no390,"Acuerdo 348, Consejo De Fundadores"
no391,"Orden Ejecutiva 280921, Presidencia"
no392,"Acta 01, Consejo Directivo"
no393,"Acta CP0019, Consejo Fundador"
no394,"Acta 003, Asamblea De Miembros Emeritos"
no395,"Acta 519, Consejo Directivo"
no396,"Resolución 1540, Direccion General Del Icfes"
no397,"Acuerdo 047, Consejo Superior Universitario"
no398,"Acuerdo C.S. 003, Consejo Superior"
no399,"Acuerdo 060, Asamblea General"
no400,"Acta 652, Junta Directiva"
no401,"Acuerdo 020, Asamblea General"
no402,"Decreto 29, Arzobispo De Tunja"
no403,"Resolución 1109, Armada Nacional"
no404,"Acuerdo 004, Sala General"
no405,"Decreto 2306, Ministerio De Defensa"
no406,"Acta 131, Sala General"
no407,"Acta 003, Asamblea De Fundadores"
no408,"Acta 069, Asamblea De Fundadores"
no409,"Acta 004, Sala General"
no410,"Asamblea General 088, Asamblea General"
no411,"Acta C.S. 306, Consejo Superior"
no412,"Resoluc C.D. 08, Consejo Directivo"
no413,"Resolución 004, Junta Directiva"
no414,"Acta 001, Asamblea De Corporados"
no415,"Resolución 019, Canciller"
no416,"Acuerdo 349, Consejo De Fundadores"
no417,"Acta 024, Honorable Consiliatura"
no418,"Acuerdo C.S. 070, Consejo Superior Universitario"
no419,"Acta 271016, Sala General"
no420,"Acta 209, Consejo"
no421,"Acuerdo C.S. 7, Consejo Superior"
no422,"Acta 007, Sala General"
no423,"Acta 07, Asamblea General"
no424,"Acuerdo 34, Sala General"
no425,"Acta C.S. 131, Consejo Superior Universitario"
no426,"O. Admon De P. 201631, Comando Del Ejercito Nacional"
no427,"Decreto 134, Consejo De Fundadores"
no428,"Resolución 031, Consejo Superior Universitario"
no429,"Acuerdo C.D. 20, Consejo Directivo"
no430,"Acuerdo 01, Asamblea"
no431,"Resolución 020, Consejo Superior Universitario"
no432,"Acta 113, Asamblea"
no433,"Decreto 1773, Presidencia"
no434,"Acta 53, Consejo Directivo"
no435,"Acuerdo 123, Consejo Superior"
no436,"Acta 1, Sala General"
no437,"Acuerdo 059, Asamblea De Fundadores"
no438,"Acuerdo C.D. 011, Consejo Directivo"
no439,"Acta C.D. 639, Consejo De Direccion"
no440,"Acuerdo 411, Consejo Directivo"
no441,"Acta 001, Asamblea"
no442,"Acta 1, Asamblea General"
no443,"Acuerdo 01-003, Consejo Directivo"
no444,"Acta C.S. 396, Consejo Superior"
no445,"Acuerdo 010, Asamblea Consejo De Fundadores"
no446,"Resolución 00259, Secretaria General Del Icfes"
no447,"Acta 2, Conciliatura"
no448,"Resoluc C.S. 04, Consejo Superior"
no449,"Acta 001, Sala General"
no450,"Acta C.S. 315, Consejo Superior"
no451,"Acta C.S. 010, Consejo Superior"
